ID_g,Cu_g,Zn_g,Cd_s,Cu_s,Zn_s,Ni_s,SOM,pH,Cd_sa,Cu_sa,Zn_sa,Ni_sa,Temp,Aspect,TWI,Slope,Altitude,JZ,TR,DL,CI,PSRI,CSVI,NDVI,Lon,Lat
1,3.5976,29.8016,0.102,21.0758,104.7415,19.9619,78.5662,6.919,0.04349254,1.7822,0.8934,1.01494,23.322,5.66187,5.16119,0.331403,4118,1,0,0,1.3713,0.189717,0.31889,0.299959,100.5288,33.49361
2,4.1518,19.1213,0.2256,23.0736,129.674,18.9562,332.125,6.13,0.07409109,2.1724,3.97669,2.11412,24.34,2.60068,9.01578,0.0582436,3999,1,0,0,1.58232,0.0909663,0.25191,0.410294,100.6629,33.60088
3,4.6664,28.8861,0.2052,19.078,111.7226,19.9619,323.094,6.39,0.16074369,1.7052,17.5084,1.84329,23.878,2.65661,5.09382,0.405607,4012,1,0,0,1.69852,0.0788358,0.201505,0.467736,100.6387,33.61728
4,6.2401,29.4964,0.246,25.0714,113.7172,21.9734,304.03,7.129,0.17324286,2.7297,31.8634,1.37412,23.654,1.24881,3.19151,0.390035,3779,1,0,0,1.70395,0.0854843,0.207708,0.465941,100.9354,33.64635
5,4.9831,23.902,0.1134,23.0736,90.7793,27.0021,280.952,6.599,0.14149102,2.9109,8.71462,2.57996,22.318,0.0270153,5.24238,0.354499,4181,1,0,0,1.27923,0.1525,0.372351,0.26428,100.3376,33.44237
6,3.1819,39.4647,0.0828,15.0824,55.8738,22.9791,266.904,7.029,0.0766782,3.512,2.84928,2.70329,23.644,0.64338,5.99146,0.0996687,4159,0,0,1,0.321384,0.158241,0.353202,0.276362,99.65509,35.46413
7,3.7955,33.2599,0.1338,13.0846,59.863,25.9964,260.884,7.408,0.07569115,3.117,2.05765,1.91213,23.142,5.49675,6.56118,0.0141412,4335,0,0,1,0.203434,0.206443,0.468902,0.187003,99.41819,35.57323
8,4.1419,54.8239,0.3174,25.0714,90.7793,29.0136,248.843,6.619,0.2668152,5.0025,4.97607,1.91409,25.55,5.68494,6.99535,0.293588,4307,0,0,1,0.292662,0.166728,0.365338,0.260253,99.53853,36.02936
9,4.419,40.1767,0.2256,22.0747,83.7982,27.0021,235.799,6.789,0.17163241,2.5193,5.51416,1.89019,28.812,5.96031,9.06457,0.0945852,4152,0,0,1,0.379427,0.167579,0.349354,0.279881,99.53968,36.04196
10,3.4095,31.8359,0.093,21.0758,66.8441,35.048,232.788,8.327,0.09586853,4.8736,1.89368,2.82443,24.416,5.89147,5.38253,0.181817,4053,0,0,1,0.420059,0.152609,0.3189,0.313153,99.50898,35.77481
11,5.3592,92.4592,0.1734,23.0736,78.8117,31.025,231.785,7.438,0.14864973,4.7022,0.5884,0.60137,25.71,0.0767574,6.665,0.0509461,4197,0,0,1,0.381485,0.135727,0.352939,0.30119,99.46455,35.86068
12,3.36,35.2943,0.1032,15.0824,60.8603,27.0021,231.785,7.059,0.07889127,2.7593,1.57889,2.87379,22.73,0.78525,4.95174,0.0705932,4430,0,0,1,0.318911,0.169162,0.374777,0.251549,99.59461,35.45121
13,5.9827,32.5479,0.2766,20.0769,113.7172,33.0365,230.782,6.04,0.194293,3.4765,16.5009,2.6265,21.87,4.56963,8.64062,0.14049,4007,1,0,0,1.4665,0.133509,0.287511,0.347603,100.9377,33.55926
14,4.617,38.3458,0.1542,22.0747,65.8468,22.9791,228.775,6.859,0.15064461,8.8501,2.99181,3.73568,25.054,1.24881,10.6006,0.125823,4277,0,0,1,0.383784,0.151799,0.321066,0.295151,99.61417,35.4678
15,4.1122,38.0406,0.1032,19.078,65.8468,25.9964,227.771,7.598,0.08751497,2.711,1.6111,1.81335,20.494,0.46356,6.5085,0.0446916,4499,0,0,1,0.340164,0.165605,0.354833,0.277768,99.46292,36.03029
16,7.21,49.1278,0.1428,26.0703,82.8009,31.025,226.768,7.019,0.09118264,2.7969,1.21967,2.37399,25.694,4.95643,6.40744,0.163453,3901,0,0,1,0.438776,0.172336,0.293776,0.325397,99.59323,36.15199
17,3.7361,36.82,0.1542,23.0736,59.863,24.9906,217.737,7.268,0.12992695,2.8231,3.76567,2.48706,24.31,5.37242,4.25084,0.518135,3633,0,1,0,0.752815,0.0533717,0.217831,0.455395,101.8386,35.30907
18,4.8347,27.3604,0.1848,22.0747,75.8198,28.0078,210.714,7.917,0.09924528,1.2276,2.35547,1.04099,27.812,0.244932,6.84569,0.318611,3783,0,0,1,0.404175,0.148535,0.299242,0.322758,99.57671,36.10259
19,4.8149,30.6153,0.2766,23.0736,95.7658,19.9619,208.707,6.849,0.17217269,1.6091,13.8795,0.99317,23.342,1.58936,6.02833,0.487432,3297,0,1,0,1.18109,0.0191685,0.115901,0.600247,101.8926,35.38457
20,4.0627,34.3788,0.1644,22.0747,76.8171,21.9734,200.68,6.739,0.17463512,6.6753,2.38818,4.86543,22.124,2.81931,4.65785,0.0945852,4551,0,0,1,0.361859,0.179298,0.330582,0.293067,99.47724,35.67855
21,6.25,35.0908,0.2358,20.0769,61.8576,25.9964,198.673,7.588,0.15926831,1.3333,1.8768,0.93546,21.974,5.996,2.93445,0.488608,2684,0,1,0,0.925479,0.0522293,0.148846,0.485574,101.9585,35.59375
22,4.132,40.1767,0.1134,15.0824,65.8468,28.0078,195.663,7.718,0.0677428,2.3744,2.38689,1.47663,24.002,3.09343,4.96071,0.20722,4555,0,0,1,0.191974,0.187454,0.504063,0.175542,99.44007,35.46329
23,3.6866,36.3114,0.297,20.0769,73.8252,30.0193,193.656,7.258,0.19210071,2.4654,2.10055,1.83574,25.774,4.58182,3.76383,0.227918,4125,0,0,1,0.408075,0.153258,0.31572,0.320429,99.41258,35.45243
24,5.5176,43.6351,0.1032,20.0769,77.8144,32.0308,192.652,6.729,0.10726636,2.9614,1.77314,2.47525,25.304,5.60347,4.32188,0.378994,3909,0,0,1,0.47408,0.161778,0.288318,0.334906,99.53649,36.18978
